Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\data\Daniele\231128_RBX_RSO\231128_lard_A.ds8d

Temperature (°C)	Heat Flow Endo Up (mW)
90.63	-6.0153
90.64	-6.0133
90.64	-6.0090
90.65	-6.0027
90.66	-5.9956
90.67	-5.9887
90.67	-5.9825
90.68	-5.9779
90.69	-5.9750
90.70	-5.9743
90.70	-5.9752
90.70	-5.9780
90.71	-5.9823
90.72	-5.9884
90.72	-5.9955
90.72	-6.0036
90.73	-6.0125
90.73	-6.0222
90.73	-6.0323
90.73	-6.0427
90.73	-6.0536
90.73	-6.0648
90.74	-6.0764
90.74	-6.0883
90.74	-6.1005
90.74	-6.1132
90.74	-6.1261
90.74	-6.1394
90.74	-6.1531
90.74	-6.1673
90.74	-6.1818
90.74	-6.1967
90.74	-6.2119
90.75	-6.2276
90.75	-6.2435
90.74	-6.2600
90.75	-6.2764
90.74	-6.2932
90.75	-6.3102
90.75	-6.3272
90.75	-6.3443
90.75	-6.3614
90.75	-6.3783
90.75	-6.3950
90.75	-6.4117
90.75	-6.4281
90.75	-6.4444
90.75	-6.4601
90.75	-6.4756
90.75	-6.4907
90.75	-6.5051
90.75	-6.5194
90.75	-6.5328
90.75	-6.5458
90.75	-6.5583
90.75	-6.5701
90.75	-6.5816
90.75	-6.5925
90.75	-6.6027
90.75	-6.6123
90.75	-6.6214
90.75	-6.6298
90.75	-6.6377
90.75	-6.6451
90.75	-6.6517
90.75	-6.6578
90.75	-6.6637
90.75	-6.6688
90.75	-6.6735
90.75	-6.6777
90.75	-6.6814
90.75	-6.6847
90.75	-6.6876
90.75	-6.6902
90.75	-6.6922
90.75	-6.6940
90.75	-6.6953
90.75	-6.6964
90.75	-6.6972
90.75	-6.6977
90.76	-6.6981
90.75	-6.6982
90.75	-6.6979
90.75	-6.6975
90.76	-6.6967
90.76	-6.6959
90.75	-6.6950
90.75	-6.6938
90.76	-6.6925
90.76	-6.6910
90.76	-6.6895
90.75	-6.6880
90.75	-6.6864
90.75	-6.6848
90.75	-6.6831
