Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,33461"
"0,10000";"0,28876";"0,33330"
"0,20000";"0,60515";"0,34309"
"0,30000";"0,90596";"0,33904"
"0,40000";"1,20606";"0,33572"
"0,50000";"1,50627";"0,35039"
"0,60000";"1,80613";"0,33756"
"0,70000";"2,10599";"0,34328"
"0,80000";"2,40609";"0,35792"
"0,90000";"2,70607";"0,34062"
"1,00000";"3,00617";"0,33176"
"1,10000";"3,30615";"0,35968"
"1,20000";"3,60577";"0,33403"
"1,30000";"3,90599";"0,34044"
"1,40000";"4,20608";"0,35265"
"1,50000";"4,50618";"0,31535"
"1,60000";"4,80604";"0,33350"
"1,70000";"5,10590";"0,33724"
"1,80000";"5,40576";"0,34586"
"1,90000";"5,70598";"0,32382"
"2,00000";"6,00596";"0,33383"
"2,10000";"6,30594";"0,33138"
"2,20000";"6,60603";"0,32333"
"2,30000";"6,90613";"0,32144"
"2,40000";"7,20587";"0,32257"
"2,50000";"7,50597";"0,33484"
"2,60000";"7,80619";"0,33040"
"2,70000";"8,10593";"0,32748"
"2,80000";"8,40591";"0,32876"
"2,90000";"8,70589";"0,34672"
"3,00000";"9,00587";"0,32650"
"3,10000";"9,30597";"0,33302"
"3,20000";"9,60606";"0,33171"
"3,30000";"9,90592";"0,32414"
"3,40000";"10,20602";"0,34501"
"3,50000";"10,50600";"0,34957"
"3,60000";"10,80563";"0,34254"
"3,70000";"11,10608";"0,34069"
"3,80000";"11,40594";"0,34067"
"3,90000";"11,70603";"0,33841"
"4,00000";"12,00613";"0,33819"
"4,10000";"12,30587";"0,33965"
"4,20000";"12,60585";"0,32948"
"4,30000";"12,90595";"0,34734"
"4,40000";"13,20605";"0,34941"
"4,50000";"13,50591";"0,32378"
"4,60000";"13,80601";"0,35778"
"4,70000";"14,10587";"0,34551"
"4,80000";"14,40597";"0,35137"
"4,90000";"14,70595";"0,34135"
"5,00000";"15,00604";"0,35395"
"5,10000";"15,30614";"0,35237"
"5,20000";"15,60612";"0,34667"
"5,30000";"15,90598";"0,35766"
"5,40000";"16,20608";"0,34327"
"5,50000";"16,50594";"0,34034"
"5,60000";"16,80592";"0,33877"
"5,70000";"17,10637";"0,34143"
"5,80000";"17,40623";"0,34764"
"5,90000";"17,70585";"0,32217"
"6,00000";"18,00607";"0,33362"
"6,10000";"18,30617";"0,35219"
"6,20000";"18,60603";"0,34860"
"6,30000";"18,90601";"0,34045"
"6,40000";"19,20587";"0,33035"
"6,50000";"19,50585";"0,32766"
"6,60000";"19,80583";"0,34711"
"6,70000";"20,10604";"0,34453"
"6,80000";"20,40590";"0,34774"
"6,90000";"20,70612";"0,36113"
"7,00000";"21,00610";"0,32546"
"7,10000";"21,30584";"0,33906"
"7,20000";"21,60617";"0,33451"
"7,30000";"21,90627";"0,35032"
"7,40000";"22,20601";"0,32277"
"7,50000";"22,50599";"0,33492"
"7,60000";"22,80609";"0,34366"
"7,70000";"23,10607";"0,33641"
"7,80000";"23,40593";"0,34263"
"7,90000";"23,70603";"0,33440"
"8,00000";"24,00601";"0,33977"
"8,10000";"24,30610";"0,33343"
"8,20000";"24,60585";"0,35447"
"8,30000";"24,90571";"0,34863"
"8,40000";"25,20569";"0,34872"
"8,50000";"25,50590";"0,31609"
"8,60000";"25,80600";"0,34244"
"8,70000";"26,10610";"0,33848"
"8,80000";"26,40584";"0,33680"
"8,90000";"26,70617";"0,35157"
"9,00000";"27,00615";"0,34207"
"9,10000";"27,30589";"0,35469"
"9,20000";"27,60611";"0,33925"
"9,30000";"27,90621";"0,33860"
"9,40000";"28,20572";"0,35414"
"9,50000";"28,50581";"0,34743"
"9,60000";"28,80614";"0,35696"
"9,70000";"29,10612";"0,34737"
"9,80000";"29,40575";"0,34952"
"9,90000";"29,70573";"0,34779"
"10,00000";"30,00583";"0,33733"
"10,00200";"30,01173";"0,33646"
"10,10200";"30,11503";"0,34308"
"10,20200";"30,20664";"0,34659"
"10,30200";"30,30592";"0,34039"
"10,40200";"30,40604";"0,34640"
"10,50200";"30,50579";"0,35116"
"10,60200";"30,60590";"0,34799"
"10,70200";"30,70589";"0,33725"
"10,80200";"30,80601";"0,34295"
"10,90200";"30,90624";"0,32456"
"11,00200";"31,00587";"0,33914"
"11,10200";"31,10587";"0,35406"
"11,20200";"31,20610";"0,35052"
"11,30200";"31,30609";"0,34496"
"11,40200";"31,40609";"0,34830"
"11,50200";"31,50608";"0,33414"
"11,60200";"31,60595";"0,34551"
"11,70200";"31,70595";"0,46781"
"11,80200";"31,80605";"0,97956"
"11,90200";"31,90605";"2,21571"
"12,00200";"32,00592";"5,68132"
"12,10200";"32,10627";"7,82245"
"12,20200";"32,20615";"8,22652"
"12,30200";"32,30602";"8,13183"
"12,40200";"32,40613";"7,94127"
"12,50200";"32,50577";"7,73835"
"12,60200";"32,60588";"7,55763"
"12,70200";"32,70599";"7,31144"
"12,80200";"32,80622";"6,95093"
"12,90200";"32,90598";"6,91896"
"13,00200";"33,00586";"6,86234"
"13,10200";"33,10584";"6,77104"
"13,20200";"33,20608";"6,66662"
"13,30200";"33,30595";"6,54442"
"13,40200";"33,40606";"6,42103"
"13,50200";"33,50606";"6,32814"
"13,60200";"33,60593";"6,21986"
"13,70200";"33,70604";"6,12894"
"13,80200";"33,80580";"6,05006"
"13,90200";"33,90591";"5,94687"
"14,00200";"34,00602";"5,85234"
"14,10200";"34,10602";"5,74895"
"14,20200";"34,20613";"5,63795"
"14,30200";"34,30612";"5,55756"
"14,40200";"34,40576";"5,46859"
"14,50200";"34,50599";"5,41668"
"14,60200";"34,60586";"5,32104"
"14,70200";"34,70597";"5,25199"
"14,80200";"34,80620";"5,20778"
"14,90200";"34,90596";"5,15241"
"15,00200";"35,00571";"5,09928"
"15,10200";"35,10606";"5,04918"
"15,20200";"35,20582";"4,99465"
"15,30200";"35,30605";"4,93309"
"15,40200";"35,40604";"4,74683"
"15,50200";"35,50592";"4,24172"
"15,60200";"35,60627";"4,51893"
"15,70200";"35,70591";"4,60990"
"15,80200";"35,80566";"4,66918"
"15,90200";"35,90601";"4,62750"
"16,00200";"36,00612";"4,52181"
"16,10200";"36,10611";"4,86023"
"16,20200";"36,20610";"4,89660"
"16,30200";"36,30586";"4,89629"
"16,40200";"36,40597";"4,91819"
"16,50200";"36,50608";"4,87814"
"16,60200";"36,60608";"4,85065"
"16,70200";"36,70619";"4,90095"
"16,80200";"36,80606";"4,90306"
"16,90200";"36,90617";"4,94235"
"17,00200";"37,00593";"4,95751"
"17,10200";"37,10604";"4,93730"
"17,20200";"37,20592";"4,95891"
"17,30200";"37,30626";"4,93611"
