Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,47465"
"0,10000";"0,28888";"0,46436"
"0,20000";"0,60515";"0,45081"
"0,30000";"0,90596";"0,47045"
"0,40000";"1,20617";"0,46190"
"0,50000";"1,50615";"0,45545"
"0,60000";"1,80601";"0,46522"
"0,70000";"2,10611";"0,46052"
"0,80000";"2,40597";"0,46499"
"0,90000";"2,70607";"0,46927"
"1,00000";"3,00617";"0,47214"
"1,10000";"3,30615";"0,44439"
"1,20000";"3,60577";"0,45557"
"1,30000";"3,90587";"0,44175"
"1,40000";"4,20597";"0,46633"
"1,50000";"4,50618";"0,46800"
"1,60000";"4,80604";"0,46310"
"1,70000";"5,10590";"0,45994"
"1,80000";"5,40576";"0,46098"
"1,90000";"5,70586";"0,47064"
"2,00000";"6,00584";"0,44571"
"2,10000";"6,30594";"0,46856"
"2,20000";"6,60603";"0,45138"
"2,30000";"6,90601";"0,45501"
"2,40000";"7,20587";"0,44637"
"2,50000";"7,50597";"0,46406"
"2,60000";"7,80619";"0,45998"
"2,70000";"8,10605";"0,44711"
"2,80000";"8,40591";"0,45173"
"2,90000";"8,70589";"0,46166"
"3,00000";"9,00599";"0,45576"
"3,10000";"9,30597";"0,44865"
"3,20000";"9,60606";"0,46477"
"3,30000";"9,90592";"0,45951"
"3,40000";"10,20602";"0,46042"
"3,50000";"10,50600";"0,47134"
"3,60000";"10,80574";"0,43322"
"3,70000";"11,10608";"0,46038"
"3,80000";"11,40594";"0,47796"
"3,90000";"11,70603";"0,45875"
"4,00000";"12,00625";"0,45378"
"4,10000";"12,30599";"0,45863"
"4,20000";"12,60597";"0,48248"
"4,30000";"12,90595";"0,45649"
"4,40000";"13,20581";"0,46188"
"4,50000";"13,50603";"0,47226"
"4,60000";"13,80612";"0,45941"
"4,70000";"14,10563";"0,46884"
"4,80000";"14,40597";"0,46180"
"4,90000";"14,70618";"0,47411"
"5,00000";"15,00604";"0,45369"
"5,10000";"15,30614";"0,46674"
"5,20000";"15,60612";"0,46821"
"5,30000";"15,90586";"0,45803"
"5,40000";"16,20608";"0,46372"
"5,50000";"16,50606";"0,47821"
"5,60000";"16,80603";"0,44401"
"5,70000";"17,10625";"0,47436"
"5,80000";"17,40623";"0,44937"
"5,90000";"17,70585";"0,46987"
"6,00000";"18,00607";"0,47252"
"6,10000";"18,30617";"0,47040"
"6,20000";"18,60591";"0,46300"
"6,30000";"18,90589";"0,46484"
"6,40000";"19,20587";"0,45230"
"6,50000";"19,50585";"0,45820"
"6,60000";"19,80583";"0,47403"
"6,70000";"20,10604";"0,47208"
"6,80000";"20,40602";"0,47071"
"6,90000";"20,70600";"0,45773"
"7,00000";"21,00610";"0,44603"
"7,10000";"21,30596";"0,44988"
"7,20000";"21,60617";"0,45666"
"7,30000";"21,90627";"0,45442"
"7,40000";"22,20590";"0,47267"
"7,50000";"22,50599";"0,45726"
"7,60000";"22,80585";"0,45992"
"7,70000";"23,10607";"0,47458"
"7,80000";"23,40605";"0,46663"
"7,90000";"23,70591";"0,47052"
"8,00000";"24,00601";"0,45296"
"8,10000";"24,30610";"0,47552"
"8,20000";"24,60585";"0,45793"
"8,30000";"24,90583";"0,46432"
"8,40000";"25,20569";"0,44774"
"8,50000";"25,50602";"0,46640"
"8,60000";"25,80600";"0,46394"
"8,70000";"26,10610";"0,45645"
"8,80000";"26,40596";"0,45504"
"8,90000";"26,70617";"0,46022"
"9,00000";"27,00603";"0,45904"
"9,10000";"27,30602";"0,46553"
"9,20000";"27,60623";"0,47331"
"9,30000";"27,90609";"0,46794"
"9,40000";"28,20572";"0,47768"
"9,50000";"28,50593";"0,47502"
"9,60000";"28,80603";"0,45976"
"9,70000";"29,10612";"0,47231"
"9,80000";"29,40587";"0,86767"
"9,90000";"29,70573";"3,83461"
"10,00000";"30,00583";"8,37761"
"10,00200";"30,01185";"8,40847"
"10,10200";"30,11243";"7,15070"
"10,20200";"30,20463";"7,24171"
"10,30200";"30,30392";"7,23068"
"10,40200";"30,40403";"7,16524"
"10,50200";"30,50379";"7,05457"
"10,60200";"30,60401";"7,02251"
"10,70200";"30,70401";"6,96933"
"10,80200";"30,80400";"6,91926"
"10,90200";"30,90423";"6,91163"
"11,00200";"31,00387";"6,85961"
"11,10200";"31,10386";"6,80048"
"11,20200";"31,20409";"6,69587"
"11,30200";"31,30408";"6,09280"
"11,40200";"31,40408";"4,37983"
"11,50200";"31,50419";"5,14367"
"11,60200";"31,60395";"5,67264"
"11,70200";"31,70394";"6,20146"
"11,80200";"31,80393";"6,41553"
"11,90200";"31,90404";"6,41612"
"12,00200";"32,00404";"6,52396"
"12,10200";"32,10426";"6,46090"
"12,20200";"32,20402";"6,33172"
"12,30200";"32,30401";"6,39439"
"12,40200";"32,40413";"6,26874"
"12,50200";"32,50388";"6,36155"
"12,60200";"32,60387";"6,15085"
"12,70200";"32,70399";"6,22001"
"12,80200";"32,80409";"6,31150"
"12,90200";"32,90397";"6,17184"
"13,00200";"33,00385";"6,11734"
"13,10200";"33,10396";"6,31419"
"13,20200";"33,20395";"6,01060"
"13,30200";"33,30407";"6,28571"
"13,40200";"33,40405";"6,32471"
"13,50200";"33,50405";"6,18634"
"13,60200";"33,60380";"6,28273"
"13,70200";"33,70404";"6,26134"
"13,80200";"33,80391";"6,27047"
"13,90200";"33,90390";"6,20705"
"14,00200";"34,00425";"6,31753"
"14,10200";"34,10401";"6,32561"
"14,20200";"34,20412";"6,32240"
"14,30200";"34,30399";"6,35197"
"14,40200";"34,40375";"6,34950"
"14,50200";"34,50398";"6,36497"
"14,60200";"34,60386";"6,36362"
"14,70200";"34,70397";"6,41766"
"14,80200";"34,80420";"6,43385"
"14,90200";"34,90395";"6,44795"
"15,00200";"35,00371";"6,45610"
"15,10200";"35,10394";"6,49470"
"15,20200";"35,20382";"6,47932"
"15,30200";"35,30416";"6,49273"
"15,40200";"35,40403";"6,53522"
"15,50200";"35,50391";"6,52886"
"15,60200";"35,60414";"6,54063"
"15,70200";"35,70378";"6,53732"
