;2perc/csv/2percA Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_5.csv;2perc/csv/2percB Specimen_RawData_4.csv;2perc/csv/2percA Specimen_RawData_1.csv;2perc/csv/2percB Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_1.csv;2perc/csv/2percA Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_6.csv
-3.3000000000000007;-0.03458;;;;;;;;
-3.3;-0.0283675;;;;;;;;
-3.2;-0.02526125;;;;;;;;
-3.1999999999999997;-0.022155;;;;;;;;
-3.1999999999999993;-0.020084166666666667;;;-0.02432;;;;;
-3.1;-0.018013333333333336;;;-0.022832500000000002;;;;;
-3.0999999999999996;-0.015942500000000002;;;-0.022336666666666668;;;;;
-3.099999999999998;-0.01283625;;;-0.021840833333333337;;;-0.01231;;-0.03918
-3.0;-0.00973;;;-0.021345000000000003;;;-0.01173;;-0.03622
-2.9999999999999996;-0.015932500000000002;;;-0.02084916666666667;;;-0.011536666666666667;;-0.03523333333333333
-2.900000000000002;-0.018000000000000002;;-0.03447;-0.020353333333333334;;-0.0328;-0.011343333333333334;;-0.03424666666666667
-2.9;-0.020067500000000002;;-0.027262500000000002;-0.0198575;;-0.030445000000000003;-0.01115;;-0.03326
-2.8999999999999995;-0.022135000000000002;;-0.02486;-0.01911375;;-0.029660000000000002;-0.010956666666666667;;-0.032273333333333334
-2.8999999999999986;-0.024202500000000002;;-0.022457500000000002;-0.01837;;-0.028875000000000005;-0.010763333333333333;;-0.031286666666666664
-2.8;-0.02627;;-0.020055;-0.014833333333333334;;-0.028090000000000004;-0.01057;;-0.0303
-2.7999999999999994;-0.0283375;;-0.018253125;-0.013949166666666667;;-0.027501250000000005;-0.010280000000000001;;-0.02882
-2.799999999999997;-0.03143875;;-0.01645125;-0.013065;;-0.026912500000000002;-0.00999;;-0.02734
-2.700000000000003;-0.03454;;-0.014649375;-0.012180833333333333;;-0.02632375;-0.010945;;-0.028601666666666664
-2.6999999999999997;-0.03295875;;-0.012847499999999998;-0.011296666666666667;;-0.025735;-0.0119;;-0.029863333333333332
-2.6999999999999993;-0.0313775;;-0.009243749999999998;-0.009528333333333333;;-0.024557500000000003;-0.012536666666666668;;-0.03070444444444444
-2.6000000000000014;-0.030323333333333334;;-0.00564;-0.00776;;-0.02338;-0.013173333333333334;;-0.03154555555555555
-2.5999999999999996;-0.02926916666666667;;-0.00889;-0.0072050000000000005;;-0.025757500000000003;-0.013810000000000001;;-0.03238666666666666
-2.599999999999999;-0.028215;;-0.009973333333333334;-0.00702;;-0.02655;-0.014765;;-0.03364833333333333
-2.5;-0.027160833333333332;;-0.011056666666666668;-0.006835;;-0.027342500000000002;-0.01572;;-0.03491
-2.4999999999999996;-0.026106666666666667;;-0.012140000000000001;-0.00665;;-0.028135;-0.013555000000000001;;-0.035582499999999996
-2.499999999999999;-0.0250525;;-0.012790000000000001;-0.006539;;-0.0286105;-0.013122000000000002;;-0.035717
-2.4999999999999964;-0.02347125;;-0.01344;-0.006428;;-0.029086;-0.012689;-0.0323;-0.035851499999999994
-2.400000000000002;-0.02189;;-0.014090000000000002;-0.006317;-0.02685;-0.0295615;-0.012256000000000001;-0.031110000000000002;-0.035986
-2.4;-0.021359166666666665;;-0.014740000000000001;-0.006206;-0.026182499999999997;-0.030037;-0.011823;-0.029920000000000002;-0.03612049999999999
-2.3999999999999995;-0.020828333333333334;;-0.015390000000000001;-0.006095;-0.026049;-0.0305125;-0.01139;-0.029444;-0.036254999999999996
-2.399999999999999;-0.0202975;;-0.017015000000000002;-0.0059099999999999995;-0.025915499999999998;-0.03170125;-0.010957000000000001;-0.028968;-0.0363895
-2.3000000000000043;-0.019979;;-0.01864;-0.005725;-0.025782;-0.03289;-0.010524;-0.028492000000000003;-0.036524
-2.3000000000000007;-0.0196605;;-0.018666666666666668;-0.00554;-0.025648499999999998;-0.031594166666666666;-0.010091000000000001;-0.028016000000000003;-0.0366585
-2.3;-0.019341999999999998;;-0.018693333333333333;-0.0051649999999999995;-0.025515;-0.030298333333333333;-0.009658;-0.027540000000000002;-0.036793
-2.2999999999999994;-0.0190235;;-0.01872;-0.00479;-0.0252925;-0.0290025;-0.009225;-0.02674666666666667;-0.0369275
-2.299999999999999;-0.018705;;-0.01874666666666667;-0.00454;-0.025070000000000002;-0.027706666666666668;-0.008503333333333333;-0.025953333333333335;-0.037151666666666666
-2.1999999999999997;-0.01817416666666667;;-0.018773333333333333;-0.00429;-0.0248475;-0.026410833333333335;-0.007781666666666667;-0.025160000000000002;-0.03737583333333334
