Hardness 1 : Kraftbei  Hardness 1;"410,97400";N
A1 : A1;"1,08470";J
A2 : A2;"0,09863";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,09093";
Chewiness : Chewiness;"0,02450";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,00266"
"0,01000";"0,00094";"0,00930"
"0,02000";"0,00578";"0,01752"
"0,03000";"0,01641";"0,03333"
"0,04000";"0,03152";"0,04755"
"0,05000";"0,04923";"0,05429"
"0,06000";"0,06812";"0,04241"
"0,07000";"0,08736";"0,02703"
"0,08000";"0,10613";"0,01037"
"0,09000";"0,12455";"0,00742"
"0,10000";"0,14238";"0,00527"
"0,11000";"0,15961";"0,00119"
"0,12000";"0,17638";"-0,00113"
"0,13000";"0,19278";"-0,00028"
"0,14000";"0,20896";"-0,00735"
"0,15000";"0,22478";"-0,01239"
"0,16000";"0,24048";"-0,00986"
"0,17000";"0,25606";"-0,00745"
"0,18000";"0,27141";"-0,00781"
"0,19000";"0,28676";"-0,00892"
"0,20000";"0,30199";"-0,00439"
"0,21000";"0,31722";"-0,00666"
"0,22000";"0,33244";"-0,00954"
"0,23000";"0,34756";"-0,01169"
"0,24000";"0,36267";"-0,01029"
"0,25000";"0,37766";"-0,00858"
"0,26000";"0,39265";"-0,00086"
"0,27000";"0,40765";"0,00442"
"0,28000";"0,42276";"0,00011"
"0,29000";"0,43787";"0,00072"
"0,30000";"0,45298";"0,00333"
"0,31000";"0,46809";"0,00122"
"0,32000";"0,48308";"-0,00016"
"0,33000";"0,49819";"0,00698"
"0,34000";"0,51295";"0,01396"
"0,35000";"0,52794";"0,01558"
"0,36000";"0,54306";"0,01624"
"0,37000";"0,55805";"0,01570"
"0,38000";"0,57304";"0,00709"
"0,39000";"0,58815";"-0,00358"
"0,40000";"0,60315";"-0,00760"
"0,41000";"0,61814";"-0,01114"
"0,42000";"0,63313";"-0,01402"
"0,43000";"0,64812";"-0,01434"
"0,44000";"0,66324";"-0,01977"
"0,45000";"0,67823";"-0,02209"
"0,46000";"0,69322";"-0,01998"
"0,47000";"0,70810";"-0,01626"
"0,48000";"0,72297";"-0,01335"
"0,49000";"0,73808";"-0,00532"
"0,50000";"0,75308";"0,00192"
"0,51000";"0,76807";"0,00784"
"0,52000";"0,78318";"0,01299"
"0,53000";"0,79817";"0,01930"
"0,54000";"0,81317";"0,01992"
"0,55000";"0,82816";"0,01245"
"0,56000";"0,84303";"0,00671"
"0,57000";"0,85791";"0,00826"
"0,58000";"0,87290";"0,01184"
"0,59000";"0,88778";"0,01242"
"0,60000";"0,90289";"0,01561"
"0,61000";"0,91788";"0,01460"
"0,62000";"0,93299";"0,00967"
"0,63000";"0,94810";"0,00165"
"0,64000";"0,96310";"-0,00599"
"0,65000";"0,97797";"-0,00515"
"0,66000";"0,99297";"0,00086"
"0,67000";"1,00796";"0,00360"
"0,68000";"1,02307";"0,00155"
"0,69000";"1,03806";"0,00330"
"0,70000";"1,05317";"-0,00299"
"0,71000";"1,06817";"-0,00787"
"0,72000";"1,08316";"-0,00561"
"0,73000";"1,09815";"-0,00265"
"0,74000";"1,11303";"0,00157"
"0,75000";"1,12802";"0,00736"
"0,76000";"1,14313";"0,00488"
"0,77000";"1,15801";"-0,00030"
"0,78000";"1,17300";"-0,00330"
"0,79000";"1,18788";"-0,00423"
"0,80000";"1,20299";"0,00354"
"0,81000";"1,21798";"0,01125"
"0,82000";"1,23297";"0,00682"
"0,83000";"1,24797";"0,00315"
"0,84000";"1,26308";"-0,00096"
"0,85000";"1,27807";"-0,00358"
"0,86000";"1,29306";"0,00698"
"0,87000";"1,30806";"0,01578"
"0,88000";"1,32305";"0,02018"
"0,89000";"1,33792";"0,01758"
"0,90000";"1,35292";"0,00635"
"0,91000";"1,36803";"0,00058"
"0,92000";"1,38302";"-0,00115"
"0,93000";"1,39801";"-0,00139"
"0,94000";"1,41313";"0,00051"
"0,95000";"1,42800";"0,00835"
"0,96000";"1,44311";"0,01327"
"0,97000";"1,45799";"0,00502"
"0,98000";"1,47298";"-0,00320"
"0,99000";"1,48797";"-0,00892"
"1,00000";"1,50297";"-0,01081"
"1,01000";"1,51808";"-0,01079"
"1,02000";"1,53307";"-0,01016"
"1,03000";"1,54806";"-0,01279"
"1,04000";"1,56306";"-0,01184"
"1,05000";"1,57805";"-0,00595"
"1,06000";"1,59304";"-0,00354"
"1,07000";"1,60803";"-0,00255"
"1,08000";"1,62315";"-0,00082"
"1,09000";"1,63814";"-0,00600"
"1,10000";"1,65313";"-0,00965"
"1,11000";"1,66813";"-0,01289"
"1,12000";"1,68312";"-0,01718"
"1,13000";"1,69811";"-0,02587"
"1,14000";"1,71310";"-0,02053"
"1,15000";"1,72810";"-0,01003"
"1,16000";"1,74309";"-0,00413"
"1,17000";"1,75808";"0,00284"
"1,18000";"1,77308";"-0,00232"
"1,19000";"1,78795";"-0,00715"
"1,20000";"1,80294";"-0,00344"
"1,21000";"1,81794";"0,00366"
"1,22000";"1,83293";"0,00871"
"1,23000";"1,84792";"0,00744"
"1,24000";"1,86303";"0,00816"
"1,25000";"1,87803";"0,00392"
"1,26000";"1,89302";"0,00233"
"1,27000";"1,90801";"0,00558"
"1,28000";"1,92301";"0,00877"
"1,29000";"1,93800";"0,01275"
"1,30000";"1,95288";"0,01040"
"1,31000";"1,96787";"0,01015"
"1,32000";"1,98298";"0,00651"
"1,33000";"1,99797";"0,00395"
"1,34000";"2,01297";"-0,00189"
"1,35000";"2,02784";"-0,00127"
"1,36000";"2,04283";"-0,00176"
"1,37000";"2,05783";"0,00120"
"1,38000";"2,07282";"0,01333"
"1,39000";"2,08781";"0,02458"
"1,40000";"2,10281";"0,02048"
"1,41000";"2,11780";"0,01202"
"1,42000";"2,13279";"0,01029"
"1,43000";"2,14790";"0,00760"
"1,44000";"2,16290";"0,01283"
"1,45000";"2,17801";"0,01694"
"1,46000";"2,19312";"0,00996"
"1,47000";"2,20811";"0,00189"
"1,48000";"2,22322";"0,00071"
"1,49000";"2,23822";"0,00319"
"1,50000";"2,25321";"0,00897"
"1,51000";"2,26820";"0,01331"
"1,52000";"2,28319";"0,01139"
"1,53000";"2,29807";"0,01014"
"1,54000";"2,31318";"0,00235"
"1,55000";"2,32817";"0,00428"
"1,56000";"2,34317";"0,01030"
"1,57000";"2,35816";"0,01166"
"1,58000";"2,37315";"0,01314"
"1,59000";"2,38815";"0,00753"
"1,60000";"2,40302";"0,00573"
"1,61000";"2,41801";"0,00375"
"1,62000";"2,43301";"0,00574"
"1,63000";"2,44812";"0,00664"
"1,64000";"2,46311";"0,00636"
"1,65000";"2,47810";"0,00363"
"1,66000";"2,49310";"0,00069"
"1,67000";"2,50785";"-0,00177"
"1,68000";"2,52261";"0,00147"
"1,69000";"2,53749";"0,00280"
"1,70000";"2,55236";"0,00888"
"1,71000";"2,56724";"0,01524"
"1,72000";"2,58235";"0,01438"
"1,73000";"2,59746";"0,00896"
"1,74000";"2,61245";"0,00316"
"1,75000";"2,62756";"-0,00295"
"1,76000";"2,64256";"-0,00099"
"1,77000";"2,65767";"0,00565"
"1,78000";"2,67301";"0,00539"
"1,79000";"2,68812";"0,00130"
"1,80000";"2,70324";"-0,00323"
"1,81000";"2,71823";"-0,00895"
"1,82000";"2,73322";"-0,01272"
"1,83000";"2,74822";"-0,01053"
"1,84000";"2,76321";"-0,00727"
"1,85000";"2,77820";"-0,00565"
"1,86000";"2,79319";"0,00084"
"1,87000";"2,80819";"0,00526"
"1,88000";"2,82318";"0,00135"
"1,89000";"2,83817";"0,00040"
"1,90000";"2,85317";"0,00590"
"1,91000";"2,86816";"0,00550"
"1,92000";"2,88303";"0,00630"
"1,93000";"2,89803";"0,00736"
"1,94000";"2,91290";"0,01345"
"1,95000";"2,92801";"0,00943"
"1,96000";"2,94301";"0,01085"
"1,97000";"2,95788";"0,01102"
"1,98000";"2,97288";"0,00448"
"1,99000";"2,98763";"0,00726"
"2,00000";"3,00239";"0,01440"
"2,01000";"3,01726";"0,01955"
"2,02000";"3,03237";"0,01707"
"2,03000";"3,04737";"0,00624"
"2,04000";"3,06248";"0,00485"
"2,05000";"3,07759";"0,00703"
"2,06000";"3,09294";"0,00622"
"2,07000";"3,10805";"0,00451"
"2,08000";"3,12316";"0,00517"
"2,09000";"3,13815";"0,00571"
"2,10000";"3,15315";"0,00524"
"2,11000";"3,16826";"0,00429"
"2,12000";"3,18337";"0,00763"
"2,13000";"3,19860";"0,01195"
"2,14000";"3,21371";"0,01067"
"2,15000";"3,22858";"0,00911"
"2,16000";"3,24346";"0,00772"
"2,17000";"3,25845";"0,00436"
"2,18000";"3,27333";"0,01115"
"2,19000";"3,28832";"0,02155"
"2,20000";"3,30331";"0,02142"
"2,21000";"3,31819";"0,01761"
"2,22000";"3,33318";"0,01561"
"2,23000";"3,34794";"0,00074"
"2,24000";"3,36281";"-0,00966"
"2,25000";"3,37781";"-0,01778"
