;lard/csv/margarinSpecimen_RawData_8.csv;lard/csv/margarinSpecimen_RawData_7.csv;lard/csv/margarinSpecimen_RawData_2.csv;lard/csv/margarinSpecimen_RawData_5.csv;lard/csv/margarinSpecimen_RawData_6.csv;lard/csv/margarinSpecimen_RawData_1.csv;lard/csv/margarinSpecimen_RawData_4.csv;lard/csv/margarinSpecimen_RawData_10.csv;lard/csv/margarinSpecimen_RawData_9.csv;lard/csv/margarinSpecimen_RawData_3.csv
-2.0;;;;;;;;;;
-1.950000000000001;;;;;;;;0.25692;;
-1.9400000000000013;;;;;;;;0.27334;;
-1.9300000000000015;;;;;;;;0.29264;;
-1.92;;;;;;;;0.30791;;
-1.9100000000000001;;;;;;;;0.30342;;
-1.9000000000000004;;;0.1961;;;;;0.29047;0.26305;
-1.9;;;0.20456;;;;;0.286215;0.26876;
-1.8900000000000006;;;0.21302;;;;;0.28196;0.27447;
-1.8800000000000008;0.24424;;0.22893;;;0.18249;;0.27976;0.29091;
-1.870000000000001;0.25494;;0.233705;;;0.19924;;0.27243;0.29269500000000004;
-1.8699999999999992;0.264655;;0.23848;;;0.207365;;0.26785000000000003;0.29448;
-1.8600000000000012;0.27437;;0.239815;0.19901;0.23676;0.21549;;0.26327;0.2969;
-1.8599999999999994;0.27634333333333333;;0.24115;0.20604;0.246925;0.2187933333333333;;0.262015;0.29932;
-1.8500000000000014;0.27831666666666666;;0.23623;0.21307;0.25709;0.22209666666666666;;0.26076;0.29656499999999997;
-1.8499999999999996;0.28029;;0.23131;0.224385;0.26897499999999996;0.2254;;0.25954666666666665;0.29381;
-1.8400000000000016;0.27724;;0.222105;0.2357;0.28086;0.22432;;0.25833333333333336;0.285395;
-1.8399999999999999;0.27419;;0.2129;0.24218499999999998;0.28303;0.22324;;0.25712;0.27698;
-1.83;0.26446;;0.19423;0.24867;0.2852;0.21157;;0.24625;0.26813;
-1.8200000000000003;0.25672;;0.18006;0.25361;0.27069;0.19919;0.2103;0.24391;0.25576;0.22514
-1.8100000000000005;0.24902;0.24975;0.17938;0.24338;0.25099;0.18681;0.2309;0.25287;0.24981;0.24348
-1.8000000000000007;0.23491;0.25966;0.18037;0.22711;0.23705;0.17178;0.2484;0.26495;0.25209;0.25939
-1.8;0.2341875;0.26658499999999996;0.1801275;0.22518500000000002;0.23354000000000003;0.1693875;0.25181;0.26886;0.2535575;0.25923
-1.7999999999999998;0.233465;0.2700475;0.17988500000000002;0.22326000000000001;0.23003;0.166995;0.25294666666666665;0.27277;0.255025;0.25917666666666667
-1.790000000000001;0.23202;0.27351;0.1796425;0.21941;0.22301;0.16221;0.2540833333333333;0.28059;0.2564925;0.25912333333333337
