Hardness 1 : Kraftbei  Hardness 1;"444,87222";N
A1 : A1;"1,22786";J
A2 : A2;"0,10216";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,08320";
Chewiness : Chewiness;"0,02426";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,19174"
"0,01000";"0,00094";"0,19703"
"0,02000";"0,00519";"0,21030"
"0,03000";"0,01535";"0,23090"
"0,04000";"0,03010";"0,24840"
"0,05000";"0,04758";"0,25522"
"0,06000";"0,06647";"0,24879"
"0,07000";"0,08571";"0,23596"
"0,08000";"0,10483";"0,22182"
"0,09000";"0,12337";"0,20832"
"0,10000";"0,14143";"0,19316"
"0,11000";"0,15890";"0,18625"
"0,12000";"0,17578";"0,18832"
"0,13000";"0,19231";"0,19195"
"0,14000";"0,20860";"0,20070"
"0,15000";"0,22454";"0,20627"
"0,16000";"0,24024";"0,21958"
"0,17000";"0,25583";"0,22263"
"0,18000";"0,27129";"0,21578"
"0,19000";"0,28664";"0,20715"
"0,20000";"0,30199";"0,19922"
"0,21000";"0,31733";"0,19923"
"0,22000";"0,33244";"0,19723"
"0,23000";"0,34756";"0,19376"
"0,24000";"0,36267";"0,19901"
"0,25000";"0,37766";"0,20656"
"0,26000";"0,39265";"0,21256"
"0,27000";"0,40776";"0,20956"
"0,28000";"0,42276";"0,19804"
"0,29000";"0,43787";"0,19394"
"0,30000";"0,45298";"0,20287"
"0,31000";"0,46809";"0,20859"
"0,32000";"0,48308";"0,21240"
"0,33000";"0,49808";"0,20997"
"0,34000";"0,51295";"0,20705"
"0,35000";"0,52794";"0,20572"
"0,36000";"0,54294";"0,21152"
"0,37000";"0,55805";"0,20968"
"0,38000";"0,57304";"0,20818"
"0,39000";"0,58815";"0,20073"
"0,40000";"0,60315";"0,19557"
"0,41000";"0,61814";"0,19441"
"0,42000";"0,63313";"0,19354"
"0,43000";"0,64812";"0,19768"
"0,44000";"0,66324";"0,19727"
"0,45000";"0,67823";"0,20124"
"0,46000";"0,69322";"0,20539"
"0,47000";"0,70810";"0,20892"
"0,48000";"0,72297";"0,20716"
"0,49000";"0,73808";"0,20483"
"0,50000";"0,75308";"0,20400"
"0,51000";"0,76807";"0,19676"
"0,52000";"0,78318";"0,18677"
"0,53000";"0,79817";"0,18569"
"0,54000";"0,81328";"0,19774"
"0,55000";"0,82816";"0,20748"
"0,56000";"0,84303";"0,20671"
"0,57000";"0,85803";"0,20428"
"0,58000";"0,87302";"0,20019"
"0,59000";"0,88790";"0,20373"
"0,60000";"0,90289";"0,20619"
"0,61000";"0,91800";"0,20501"
"0,62000";"0,93311";"0,20522"
"0,63000";"0,94810";"0,20381"
"0,64000";"0,96310";"0,20263"
"0,65000";"0,97809";"0,20050"
"0,66000";"0,99297";"0,20132"
"0,67000";"1,00808";"0,20348"
"0,68000";"1,02307";"0,21437"
"0,69000";"1,03806";"0,21970"
"0,70000";"1,05306";"0,21950"
"0,71000";"1,06805";"0,21360"
"0,72000";"1,08316";"0,20726"
"0,73000";"1,09803";"0,20727"
"0,74000";"1,11303";"0,21473"
"0,75000";"1,12802";"0,21444"
"0,76000";"1,14313";"0,21065"
"0,77000";"1,15813";"0,20753"
"0,78000";"1,17312";"0,20297"
"0,79000";"1,18811";"0,20333"
"0,80000";"1,20310";"0,21580"
"0,81000";"1,21798";"0,22058"
"0,82000";"1,23297";"0,21830"
"0,83000";"1,24808";"0,21553"
"0,84000";"1,26319";"0,21403"
"0,85000";"1,27819";"0,21476"
"0,86000";"1,29306";"0,21539"
"0,87000";"1,30806";"0,21371"
"0,88000";"1,32293";"0,20849"
"0,89000";"1,33792";"0,20622"
"0,90000";"1,35292";"0,20393"
"0,91000";"1,36791";"0,20723"
"0,92000";"1,38290";"0,20645"
"0,93000";"1,39801";"0,21418"
"0,94000";"1,41313";"0,21550"
"0,95000";"1,42812";"0,20820"
"0,96000";"1,44311";"0,19922"
"0,97000";"1,45799";"0,19683"
"0,98000";"1,47298";"0,19912"
"0,99000";"1,48797";"0,19845"
"1,00000";"1,50308";"0,19674"
"1,01000";"1,51808";"0,19578"
"1,02000";"1,53307";"0,19950"
"1,03000";"1,54806";"0,20078"
"1,04000";"1,56306";"0,20223"
"1,05000";"1,57805";"0,20094"
"1,06000";"1,59292";"0,20077"
"1,07000";"1,60803";"0,19879"
"1,08000";"1,62315";"0,19439"
"1,09000";"1,63814";"0,19333"
"1,10000";"1,65301";"0,19032"
"1,11000";"1,66801";"0,19405"
"1,12000";"1,68312";"0,20367"
"1,13000";"1,69811";"0,21886"
"1,14000";"1,71310";"0,22165"
"1,15000";"1,72810";"0,22136"
"1,16000";"1,74309";"0,22002"
"1,17000";"1,75808";"0,22239"
"1,18000";"1,77308";"0,22058"
"1,19000";"1,78795";"0,21833"
"1,20000";"1,80294";"0,21119"
"1,21000";"1,81794";"0,20382"
"1,22000";"1,83293";"0,19921"
"1,23000";"1,84792";"0,20597"
"1,24000";"1,86292";"0,20481"
"1,25000";"1,87791";"0,20924"
"1,26000";"1,89290";"0,20945"
"1,27000";"1,90790";"0,21201"
"1,28000";"1,92289";"0,20933"
"1,29000";"1,93776";"0,21701"
"1,30000";"1,95276";"0,21843"
"1,31000";"1,96763";"0,21445"
"1,32000";"1,98263";"0,20934"
"1,33000";"1,99762";"0,20088"
"1,34000";"2,01249";"0,20526"
"1,35000";"2,02760";"0,20961"
"1,36000";"2,04272";"0,21764"
"1,37000";"2,05771";"0,22071"
"1,38000";"2,07282";"0,21817"
"1,39000";"2,08793";"0,21479"
"1,40000";"2,10304";"0,20806"
"1,41000";"2,11803";"0,20270"
"1,42000";"2,13315";"0,19986"
"1,43000";"2,14814";"0,19765"
"1,44000";"2,16313";"0,20516"
"1,45000";"2,17824";"0,20751"
"1,46000";"2,19335";"0,20002"
"1,47000";"2,20847";"0,18838"
"1,48000";"2,22346";"0,18737"
"1,49000";"2,23845";"0,18875"
"1,50000";"2,25333";"0,18516"
"1,51000";"2,26832";"0,18233"
"1,52000";"2,28319";"0,18667"
"1,53000";"2,29807";"0,19431"
"1,54000";"2,31306";"0,20080"
"1,55000";"2,32794";"0,20289"
"1,56000";"2,34293";"0,20034"
"1,57000";"2,35781";"0,19887"
"1,58000";"2,37280";"0,18902"
"1,59000";"2,38779";"0,19050"
"1,60000";"2,40267";"0,19383"
"1,61000";"2,41754";"0,20510"
"1,62000";"2,43253";"0,20798"
"1,63000";"2,44753";"0,21041"
"1,64000";"2,46264";"0,20765"
"1,65000";"2,47775";"0,20205"
"1,66000";"2,49274";"0,19736"
"1,67000";"2,50774";"0,19626"
"1,68000";"2,52285";"0,19801"
"1,69000";"2,53784";"0,20001"
"1,70000";"2,55295";"0,20161"
"1,71000";"2,56794";"0,20507"
"1,72000";"2,58306";"0,20674"
"1,73000";"2,59805";"0,20808"
"1,74000";"2,61304";"0,20869"
"1,75000";"2,62827";"0,21099"
"1,76000";"2,64326";"0,21564"
"1,77000";"2,65826";"0,21601"
"1,78000";"2,67337";"0,21498"
"1,79000";"2,68836";"0,21114"
"1,80000";"2,70335";"0,21266"
"1,81000";"2,71823";"0,21648"
"1,82000";"2,73322";"0,21642"
"1,83000";"2,74822";"0,21132"
"1,84000";"2,76297";"0,20756"
