Hardness 1 : Kraftbei  Hardness 1;"349,82938";N
A1 : A1;"0,84336";J
A2 : A2;"0,10306";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,12220";
Chewiness : Chewiness;"0,02802";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,45093"
"0,01000";"0,00094";"0,45439"
"0,02000";"0,00578";"0,46821"
"0,03000";"0,01641";"0,48584"
"0,04000";"0,03152";"0,49746"
"0,05000";"0,04935";"0,49451"
"0,06000";"0,06824";"0,48455"
"0,07000";"0,08736";"0,46948"
"0,08000";"0,10625";"0,46052"
"0,09000";"0,12467";"0,45580"
"0,10000";"0,14249";"0,44937"
"0,11000";"0,15961";"0,44403"
"0,12000";"0,17626";"0,43470"
"0,13000";"0,19278";"0,42970"
"0,14000";"0,20884";"0,42233"
"0,15000";"0,22466";"0,42452"
"0,16000";"0,24036";"0,43582"
"0,17000";"0,25594";"0,44277"
"0,18000";"0,27129";"0,43769"
"0,19000";"0,28664";"0,44290"
"0,20000";"0,30187";"0,44507"
"0,21000";"0,31722";"0,44819"
"0,22000";"0,33233";"0,44731"
"0,23000";"0,34756";"0,44715"
"0,24000";"0,36255";"0,44834"
"0,25000";"0,37766";"0,44265"
"0,26000";"0,39265";"0,43309"
"0,27000";"0,40776";"0,43547"
"0,28000";"0,42288";"0,43534"
"0,29000";"0,43799";"0,43449"
"0,30000";"0,45298";"0,44048"
"0,31000";"0,46809";"0,44345"
"0,32000";"0,48308";"0,44418"
"0,33000";"0,49808";"0,44639"
"0,34000";"0,51295";"0,44921"
"0,35000";"0,52794";"0,45444"
"0,36000";"0,54294";"0,45786"
"0,37000";"0,55805";"0,45595"
"0,38000";"0,57304";"0,45820"
"0,39000";"0,58803";"0,45768"
"0,40000";"0,60315";"0,45050"
"0,41000";"0,61814";"0,44267"
"0,42000";"0,63313";"0,44164"
"0,43000";"0,64812";"0,43808"
"0,44000";"0,66324";"0,43823"
"0,45000";"0,67823";"0,44152"
"0,46000";"0,69322";"0,44726"
"0,47000";"0,70810";"0,45475"
"0,48000";"0,72309";"0,45879"
"0,49000";"0,73808";"0,46092"
"0,50000";"0,75308";"0,45895"
"0,51000";"0,76807";"0,45362"
"0,52000";"0,78318";"0,44730"
"0,53000";"0,79817";"0,44197"
"0,54000";"0,81317";"0,43650"
"0,55000";"0,82816";"0,43959"
"0,56000";"0,84303";"0,44195"
"0,57000";"0,85791";"0,43908"
"0,58000";"0,87290";"0,43282"
"0,59000";"0,88790";"0,42454"
"0,60000";"0,90289";"0,42507"
"0,61000";"0,91800";"0,43236"
"0,62000";"0,93299";"0,44168"
"0,63000";"0,94810";"0,44385"
"0,64000";"0,96310";"0,43941"
"0,65000";"0,97797";"0,42844"
"0,66000";"0,99297";"0,42550"
"0,67000";"1,00796";"0,42951"
"0,68000";"1,02307";"0,43251"
"0,69000";"1,03806";"0,43530"
"0,70000";"1,05306";"0,44044"
"0,71000";"1,06805";"0,44343"
"0,72000";"1,08316";"0,44712"
"0,73000";"1,09815";"0,45158"
"0,74000";"1,11303";"0,45505"
"0,75000";"1,12802";"0,45788"
"0,76000";"1,14313";"0,45410"
"0,77000";"1,15813";"0,44849"
"0,78000";"1,17300";"0,45077"
"0,79000";"1,18811";"0,45659"
"0,80000";"1,20310";"0,45692"
"0,81000";"1,21810";"0,45366"
"0,82000";"1,23309";"0,45743"
"0,83000";"1,24808";"0,45453"
"0,84000";"1,26319";"0,45215"
"0,85000";"1,27819";"0,45256"
"0,86000";"1,29306";"0,44414"
"0,87000";"1,30806";"0,43579"
"0,88000";"1,32305";"0,43807"
"0,89000";"1,33792";"0,44152"
"0,90000";"1,35292";"0,44332"
"0,91000";"1,36791";"0,44092"
"0,92000";"1,38302";"0,44062"
"0,93000";"1,39813";"0,43772"
"0,94000";"1,41313";"0,43479"
"0,95000";"1,42800";"0,43896"
"0,96000";"1,44311";"0,43521"
"0,97000";"1,45799";"0,44245"
"0,98000";"1,47298";"0,44882"
"0,99000";"1,48797";"0,45163"
"1,00000";"1,50297";"0,45097"
"1,01000";"1,51808";"0,44599"
"1,02000";"1,53307";"0,44559"
"1,03000";"1,54806";"0,45266"
"1,04000";"1,56306";"0,46070"
"1,05000";"1,57805";"0,46213"
"1,06000";"1,59304";"0,46045"
"1,07000";"1,60815";"0,45150"
"1,08000";"1,62315";"0,44043"
"1,09000";"1,63814";"0,44023"
"1,10000";"1,65313";"0,44304"
"1,11000";"1,66801";"0,45149"
"1,12000";"1,68312";"0,44936"
"1,13000";"1,69799";"0,44628"
"1,14000";"1,71299";"0,44589"
"1,15000";"1,72798";"0,44010"
"1,16000";"1,74309";"0,43381"
"1,17000";"1,75808";"0,44342"
"1,18000";"1,77308";"0,44709"
"1,19000";"1,78795";"0,44596"
"1,20000";"1,80294";"0,44536"
"1,21000";"1,81794";"0,44870"
"1,22000";"1,83293";"0,45555"
"1,23000";"1,84792";"0,46027"
"1,24000";"1,86303";"0,46101"
"1,25000";"1,87803";"0,44890"
"1,26000";"1,89302";"0,43576"
"1,27000";"1,90801";"0,43415"
"1,28000";"1,92301";"0,43539"
"1,29000";"1,93800";"0,44149"
"1,30000";"1,95288";"0,44544"
"1,31000";"1,96787";"0,44056"
"1,32000";"1,98286";"0,43698"
"1,33000";"1,99797";"0,44120"
"1,34000";"2,01285";"0,44263"
"1,35000";"2,02784";"0,43747"
"1,36000";"2,04283";"0,43711"
"1,37000";"2,05783";"0,44438"
"1,38000";"2,07294";"0,44774"
"1,39000";"2,08793";"0,44107"
"1,40000";"2,10292";"0,43694"
"1,41000";"2,11792";"0,44461"
"1,42000";"2,13303";"0,44262"
"1,43000";"2,14790";"0,43873"
"1,44000";"2,16290";"0,44325"
"1,45000";"2,17789";"0,44806"
"1,46000";"2,19300";"0,44699"
"1,47000";"2,20799";"0,44586"
"1,48000";"2,22299";"0,44651"
"1,49000";"2,23798";"0,44743"
"1,50000";"2,25274";"0,43804"
"1,51000";"2,26773";"0,42752"
"1,52000";"2,28260";"0,43400"
"1,53000";"2,29760";"0,44007"
"1,54000";"2,31271";"0,44768"
"1,55000";"2,32782";"0,45594"
"1,56000";"2,34293";"0,45605"
"1,57000";"2,35792";"0,45600"
"1,58000";"2,37303";"0,45601"
"1,59000";"2,38815";"0,45997"
"1,60000";"2,40302";"0,46013"
"1,61000";"2,41801";"0,45683"
"1,62000";"2,43313";"0,45547"
"1,63000";"2,44824";"0,45287"
"1,64000";"2,46335";"0,44682"
"1,65000";"2,47834";"0,44508"
"1,66000";"2,49333";"0,44774"
"1,67000";"2,50833";"0,44785"
"1,68000";"2,52320";"0,44474"
"1,69000";"2,53796";"0,44977"
"1,70000";"2,55295";"0,44988"
"1,71000";"2,56783";"0,44914"
"1,72000";"2,58282";"0,44906"
"1,73000";"2,59781";"0,44640"
"1,74000";"2,61281";"0,44380"
"1,75000";"2,62780";"0,44925"
"1,76000";"2,64267";"0,45771"
"1,77000";"2,65743";"0,45744"
"1,78000";"2,67231";"0,44469"
"1,79000";"2,68742";"0,43449"
"1,80000";"2,70241";"0,43903"
"1,81000";"2,71752";"0,44999"
"1,82000";"2,73263";"0,45878"
"1,83000";"2,74774";"0,45639"
"1,84000";"2,76274";"0,45062"
"1,85000";"2,77785";"0,45376"
"1,86000";"2,79308";"0,46196"
"1,87000";"2,80819";"0,46220"
"1,88000";"2,82318";"0,45801"
"1,89000";"2,83817";"0,45631"
"1,90000";"2,85317";"0,45332"
"1,91000";"2,86828";"0,44453"
"1,92000";"2,88315";"0,43914"
"1,93000";"2,89826";"0,44220"
"1,94000";"2,91326";"0,44413"
"1,95000";"2,92825";"0,44400"
"1,96000";"2,94324";"0,44223"
"1,97000";"2,95824";"0,44405"
"1,98000";"2,97323";"0,45006"
"1,99000";"2,98810";"0,44604"
"2,00000";"3,00298";"0,43602"
"2,01000";"3,01797";"0,43608"
"2,02000";"3,03297";"0,44581"
"2,03000";"3,04796";"0,45277"
"2,04000";"3,06283";"0,45709"
"2,05000";"3,07783";"0,46313"
"2,06000";"3,09282";"0,46727"
"2,07000";"3,10769";"0,47246"
"2,08000";"3,12245";"0,46152"
"2,09000";"3,13733";"0,45355"
"2,10000";"3,15232";"0,44807"
"2,11000";"3,16731";"0,45000"
"2,12000";"3,18242";"0,44463"
"2,13000";"3,19765";"0,44282"
"2,14000";"3,21288";"0,44762"
"2,15000";"3,22811";"0,45125"
"2,16000";"3,24322";"0,45510"
"2,17000";"3,25833";"0,44620"
"2,18000";"3,27344";"0,44185"
"2,19000";"3,28844";"0,44620"
"2,20000";"3,30355";"0,45143"
"2,21000";"3,31866";"0,46106"
"2,22000";"3,33365";"0,46963"
"2,23000";"3,34853";"0,47470"
"2,24000";"3,36340";"0,47671"
"2,25000";"3,37840";"0,47300"
"2,26000";"3,39339";"0,46876"
"2,27000";"3,40838";"0,46426"
"2,28000";"3,42338";"0,46120"
"2,29000";"3,43825";"0,45444"
"2,30000";"3,45324";"0,44201"
"2,31000";"3,46812";"0,43531"
"2,32000";"3,48287";"0,43703"
"2,33000";"3,49787";"0,43744"
"2,34000";"3,51263";"0,44004"
"2,35000";"3,52762";"0,44596"
"2,36000";"3,54238";"0,44649"
"2,37000";"3,55725";"0,45262"
"2,38000";"3,57224";"0,45930"
"2,39000";"3,58724";"0,46613"
"2,40000";"3,60223";"0,47255"
"2,41000";"3,61746";"0,46719"
"2,42000";"3,63257";"0,45882"
"2,43000";"3,64780";"0,45757"
"2,44000";"3,66291";"0,45873"
"2,45000";"3,67802";"0,45927"
"2,46000";"3,69301";"0,45669"
"2,47000";"3,70801";"0,45382"
"2,48000";"3,72312";"0,45321"
"2,49000";"3,73835";"0,45332"
"2,50000";"3,75358";"0,45735"
"2,51000";"3,76869";"0,46017"
"2,52000";"3,78380";"0,46025"
"2,53000";"3,79867";"0,45382"
"2,54000";"3,81355";"0,45278"
"2,55000";"3,82842";"0,45526"
"2,56000";"3,84330";"0,45923"
"2,57000";"3,85829";"0,45750"
"2,58000";"3,87328";"0,45456"
"2,59000";"3,88816";"0,44626"
"2,60000";"3,90327";"0,44217"
"2,61000";"3,91815";"0,44363"
"2,62000";"3,93302";"0,44207"
"2,63000";"3,94790";"0,43674"
"2,64000";"3,96289";"0,43734"
"2,65000";"3,97776";"0,43612"
"2,66000";"3,99252";"0,43189"
"2,67000";"4,00751";"0,43303"
"2,68000";"4,02251";"0,43199"
"2,69000";"4,03762";"0,43862"
"2,70000";"4,05249";"0,45081"
"2,71000";"4,06760";"0,46166"
"2,72000";"4,08272";"0,47227"
"2,73000";"4,09794";"0,46960"
"2,74000";"4,11306";"0,46974"
"2,75000";"4,12817";"0,46572"
"2,76000";"4,14328";"0,46306"
"2,77000";"4,15851";"0,46061"
"2,78000";"4,17362";"0,46105"
"2,79000";"4,18861";"0,45885"
"2,80000";"4,20372";"0,45846"
"2,81000";"4,21872";"0,45954"
"2,82000";"4,23371";"0,45852"
"2,83000";"4,24847";"0,45573"
"2,84000";"4,26334";"0,45859"
"2,85000";"4,27822";"0,45149"
"2,86000";"4,29321";"0,44939"
"2,87000";"4,30808";"0,44857"
"2,88000";"4,32296";"0,45220"
"2,89000";"4,33807";"0,44985"
"2,90000";"4,35318";"0,44447"
"2,91000";"4,36806";"0,44905"
"2,92000";"4,38305";"0,45866"
"2,93000";"4,39804";"0,45926"
"2,94000";"4,41292";"0,45324"
"2,95000";"4,42779";"0,44541"
"2,96000";"4,44278";"0,43990"
"2,97000";"4,45790";"0,44339"
"2,98000";"4,47289";"0,45160"
"2,99000";"4,48788";"0,45716"
"3,00000";"4,50288";"0,46255"
"3,01000";"4,51775";"0,45914"
"3,02000";"4,53274";"0,45042"
"3,03000";"4,54774";"0,44131"
"3,04000";"4,56285";"0,43564"
"3,05000";"4,57796";"0,43599"
"3,06000";"4,59307";"0,44209"
"3,07000";"4,60818";"0,44191"
"3,08000";"4,62317";"0,43991"
"3,09000";"4,63817";"0,44168"
"3,10000";"4,65304";"0,44164"
"3,11000";"4,66804";"0,45153"
"3,12000";"4,68315";"0,46270"
"3,13000";"4,69814";"0,45891"
"3,14000";"4,71313";"0,44620"
"3,15000";"4,72824";"0,43850"
"3,16000";"4,74324";"0,43467"
"3,17000";"4,75823";"0,42996"
"3,18000";"4,77310";"0,44174"
"3,19000";"4,78798";"0,45026"
"3,20000";"4,80297";"0,45865"
"3,21000";"4,81808";"0,45860"
"3,22000";"4,83308";"0,45668"
"3,23000";"4,84807";"0,44850"
"3,24000";"4,86283";"0,44927"
"3,25000";"4,87770";"0,45398"
