Hardness 1 : Kraftbei  Hardness 1;"378,28299";N
A1 : A1;"0,91108";J
A2 : A2;"0,10638";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,11676";
Chewiness : Chewiness;"0,02895";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,01466"
"0,01000";"0,00094";"0,00984"
"0,02000";"0,00578";"0,01494"
"0,03000";"0,01653";"0,02840"
"0,04000";"0,03164";"0,04364"
"0,05000";"0,04935";"0,05101"
"0,06000";"0,06835";"0,03912"
"0,07000";"0,08748";"0,01949"
"0,08000";"0,10637";"0,00146"
"0,09000";"0,12478";"-0,00553"
"0,10000";"0,14261";"-0,01296"
"0,11000";"0,15973";"-0,02267"
"0,12000";"0,17649";"-0,02189"
"0,13000";"0,19290";"-0,01319"
"0,14000";"0,20896";"-0,00661"
"0,15000";"0,22478";"-0,00294"
"0,16000";"0,24048";"-0,00081"
"0,17000";"0,25594";"-0,00171"
"0,18000";"0,27141";"0,00779"
"0,19000";"0,28664";"0,01909"
"0,20000";"0,30199";"0,01911"
"0,21000";"0,31722";"0,01788"
"0,22000";"0,33244";"0,00981"
"0,23000";"0,34756";"0,00523"
"0,24000";"0,36267";"0,00034"
"0,25000";"0,37766";"0,00283"
"0,26000";"0,39265";"0,00055"
"0,27000";"0,40776";"-0,00179"
"0,28000";"0,42276";"0,00200"
"0,29000";"0,43787";"-0,00586"
"0,30000";"0,45310";"-0,01289"
"0,31000";"0,46809";"-0,01347"
"0,32000";"0,48308";"-0,00890"
"0,33000";"0,49808";"0,00152"
"0,34000";"0,51295";"0,00844"
"0,35000";"0,52794";"0,00867"
"0,36000";"0,54306";"0,01119"
"0,37000";"0,55805";"0,01146"
"0,38000";"0,57304";"0,00928"
"0,39000";"0,58815";"0,00659"
"0,40000";"0,60315";"0,00344"
"0,41000";"0,61814";"0,00416"
"0,42000";"0,63301";"0,00830"
"0,43000";"0,64812";"0,01034"
"0,44000";"0,66324";"0,00373"
"0,45000";"0,67823";"-0,00218"
"0,46000";"0,69322";"-0,00158"
"0,47000";"0,70810";"0,00576"
"0,48000";"0,72309";"0,01221"
"0,49000";"0,73808";"0,01001"
"0,50000";"0,75308";"0,00757"
"0,51000";"0,76807";"0,00875"
"0,52000";"0,78318";"0,01285"
"0,53000";"0,79817";"0,02029"
"0,54000";"0,81317";"0,02349"
"0,55000";"0,82816";"0,02756"
"0,56000";"0,84303";"0,02780"
"0,57000";"0,85791";"0,02105"
"0,58000";"0,87290";"0,01738"
"0,59000";"0,88790";"0,02019"
"0,60000";"0,90289";"0,02163"
"0,61000";"0,91800";"0,01555"
"0,62000";"0,93299";"0,00788"
"0,63000";"0,94799";"0,01077"
"0,64000";"0,96298";"0,01312"
"0,65000";"0,97797";"0,00691"
"0,66000";"0,99297";"0,00832"
"0,67000";"1,00796";"0,00671"
"0,68000";"1,02307";"0,01396"
"0,69000";"1,03806";"0,02218"
"0,70000";"1,05317";"0,02355"
"0,71000";"1,06817";"0,02715"
"0,72000";"1,08316";"0,03324"
"0,73000";"1,09803";"0,02649"
"0,74000";"1,11303";"0,01829"
"0,75000";"1,12802";"0,01947"
"0,76000";"1,14301";"0,01875"
"0,77000";"1,15801";"0,01939"
"0,78000";"1,17300";"0,01252"
"0,79000";"1,18799";"0,00496"
"0,80000";"1,20299";"-0,00010"
"0,81000";"1,21798";"0,00060"
"0,82000";"1,23297";"0,00425"
"0,83000";"1,24797";"0,00444"
"0,84000";"1,26308";"0,00996"
"0,85000";"1,27807";"0,01343"
"0,86000";"1,29306";"0,01945"
"0,87000";"1,30806";"0,02028"
"0,88000";"1,32305";"0,01294"
"0,89000";"1,33792";"0,01367"
