Hardness 1 : Kraftbei  Hardness 1;"378,34238";N
A1 : A1;"0,92843";J
A2 : A2;"0,10639";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,11459";
Chewiness : Chewiness;"0,02842";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"-0,00384"
"0,01000";"0,00094";"-0,01198"
"0,02000";"0,00578";"-0,00353"
"0,03000";"0,01653";"0,01674"
"0,04000";"0,03164";"0,03699"
"0,05000";"0,04947";"0,04748"
"0,06000";"0,06835";"0,04654"
"0,07000";"0,08748";"0,03223"
"0,08000";"0,10637";"0,01821"
"0,09000";"0,12467";"0,00388"
"0,10000";"0,14249";"-0,00606"
"0,11000";"0,15961";"-0,01257"
"0,12000";"0,17638";"-0,01548"
"0,13000";"0,19278";"-0,00262"
"0,14000";"0,20884";"-0,00078"
"0,15000";"0,22478";"-0,00685"
"0,16000";"0,24048";"-0,00868"
"0,17000";"0,25594";"-0,00605"
"0,18000";"0,27141";"0,00227"
"0,19000";"0,28664";"0,00781"
"0,20000";"0,30199";"0,01402"
"0,21000";"0,31733";"0,01901"
"0,22000";"0,33256";"0,02050"
"0,23000";"0,34767";"0,01348"
"0,24000";"0,36267";"0,00503"
"0,25000";"0,37778";"-0,00276"
"0,26000";"0,39277";"-0,00821"
"0,27000";"0,40776";"-0,00336"
"0,28000";"0,42288";"0,00389"
"0,29000";"0,43787";"0,00978"
"0,30000";"0,45310";"0,00675"
"0,31000";"0,46809";"0,00505"
"0,32000";"0,48308";"0,00460"
"0,33000";"0,49808";"0,00281"
"0,34000";"0,51295";"-0,00113"
"0,35000";"0,52794";"0,00282"
"0,36000";"0,54306";"0,01544"
"0,37000";"0,55805";"0,02537"
"0,38000";"0,57304";"0,02563"
"0,39000";"0,58803";"0,02691"
"0,40000";"0,60315";"0,01981"
"0,41000";"0,61814";"0,01051"
"0,42000";"0,63313";"0,00580"
"0,43000";"0,64812";"-0,00129"
"0,44000";"0,66312";"-0,00333"
"0,45000";"0,67823";"-0,00198"
"0,46000";"0,69322";"0,00733"
"0,47000";"0,70810";"0,01007"
"0,48000";"0,72309";"0,00769"
"0,49000";"0,73808";"0,00263"
"0,50000";"0,75308";"-0,00245"
"0,51000";"0,76807";"0,00356"
"0,52000";"0,78318";"0,01337"
"0,53000";"0,79817";"0,01450"
"0,54000";"0,81317";"0,01622"
"0,55000";"0,82816";"0,01280"
"0,56000";"0,84303";"0,00870"
"0,57000";"0,85791";"0,00839"
"0,58000";"0,87290";"0,01937"
"0,59000";"0,88778";"0,01643"
"0,60000";"0,90289";"0,01059"
"0,61000";"0,91800";"0,01502"
"0,62000";"0,93311";"0,01419"
"0,63000";"0,94810";"0,01333"
"0,64000";"0,96310";"0,00279"
"0,65000";"0,97797";"-0,00245"
"0,66000";"0,99297";"0,00203"
