Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,00128"
"0,10000";"0,28758";"0,00984"
"0,20000";"0,60492";"-0,01880"
"0,30000";"0,90619";"0,02142"
"0,40000";"1,20617";"0,00963"
"0,50000";"1,50651";"0,00281"
"0,60000";"1,80625";"-0,00733"
"0,70000";"2,10564";"-0,01239"
"0,80000";"2,40609";"-0,00633"
"0,90000";"2,70619";"0,00227"
"1,00000";"3,00593";"0,00971"
"1,10000";"3,30603";"-0,00423"
"1,20000";"3,60589";"-0,01608"
"1,30000";"3,90599";"0,00653"
"1,40000";"4,20597";"0,00060"
"1,50000";"4,50606";"-0,00341"
"1,60000";"4,80592";"0,00316"
"1,70000";"5,10614";"-0,01126"
"1,80000";"5,40600";"-0,00370"
"1,90000";"5,70633";"0,01539"
"2,00000";"6,00596";"0,00909"
"2,10000";"6,30570";"0,02470"
"2,20000";"6,60603";"0,00539"
"2,30000";"6,90625";"0,01901"
"2,40000";"7,20611";"0,00607"
"2,50000";"7,50609";"0,01074"
"2,60000";"7,80583";"-0,00569"
"2,70000";"8,10593";"0,01002"
"2,80000";"8,40591";"0,00549"
"2,90000";"8,70589";"-0,00168"
"3,00000";"9,00622";"0,01478"
"3,10000";"9,30620";"-0,01651"
"3,20000";"9,60606";"0,00202"
"3,30000";"9,90592";"-0,00501"
"3,40000";"10,20614";"0,00705"
"3,50000";"10,50624";"0,01169"
"3,60000";"10,80586";"0,00023"
"3,70000";"11,10596";"-0,01220"
"3,80000";"11,40617";"-0,01318"
"3,90000";"11,70603";"0,00349"
"4,00000";"12,00601";"0,03142"
"4,10000";"12,30611";"0,00721"
"4,20000";"12,60550";"-0,01351"
"4,30000";"12,90583";"0,00660"
"4,40000";"13,20605";"0,01250"
"4,50000";"13,50603";"0,00342"
"4,60000";"13,80589";"0,00129"
"4,70000";"14,10610";"0,00041"
"4,80000";"14,40620";"0,00359"
"4,90000";"14,70606";"-0,00914"
"5,00000";"15,00604";"0,00873"
"5,10000";"15,30578";"0,00621"
"5,20000";"15,60600";"-0,00937"
"5,30000";"15,90598";"-0,00687"
"5,40000";"16,20608";"-0,02079"
"5,50000";"16,50594";"-0,00743"
"5,60000";"16,80580";"0,01391"
"5,70000";"17,10590";"-0,00142"
"5,80000";"17,40623";"0,00036"
"5,90000";"17,70597";"-0,00710"
"6,00000";"18,00607";"0,00798"
"6,10000";"18,30593";"0,00196"
"6,20000";"18,60579";"0,00846"
"6,30000";"18,90601";"0,00453"
"6,40000";"19,20599";"-0,00278"
"6,50000";"19,50620";"-0,01351"
"6,60000";"19,80618";"0,01459"
"6,70000";"20,10604";"-0,00561"
"6,80000";"20,40578";"-0,00922"
"6,90000";"20,70612";"-0,00309"
"7,00000";"21,00610";"-0,00423"
"7,10000";"21,30584";"0,00030"
"7,20000";"21,60582";"0,00696"
"7,30000";"21,90603";"-0,01531"
"7,40000";"22,20590";"0,00490"
"7,50000";"22,50599";"0,00673"
"7,60000";"22,80621";"-0,01506"
"7,70000";"23,10595";"-0,01496"
"7,80000";"23,40581";"0,00807"
"7,90000";"23,70615";"0,00563"
"8,00000";"24,00624";"0,00948"
"8,10000";"24,30610";"-0,00014"
"8,20000";"24,60608";"0,01653"
"8,30000";"24,90594";"-0,00633"
"8,40000";"25,20604";"-0,00182"
"8,50000";"25,50614";"0,00691"
"8,60000";"25,80600";"-0,00770"
"8,70000";"26,10610";"0,00015"
"8,80000";"26,40608";"-0,00168"
"8,90000";"26,70606";"0,01450"
"9,00000";"27,00603";"0,02314"
"9,10000";"27,30589";"0,00458"
"9,20000";"27,60576";"0,01297"
"9,30000";"27,90609";"-0,00134"
"9,40000";"28,20607";"-0,00714"
"9,50000";"28,50605";"-0,00043"
"9,60000";"28,80614";"0,00396"
"9,70000";"29,10612";"0,00084"
"9,80000";"29,40599";"-0,00457"
"9,90000";"29,70597";"-0,01504"
"9,99800";"30,00016";"0,00414"
"10,00000";"30,00618";"0,00387"
"10,10000";"30,10723";"0,00910"
"10,20000";"30,19861";"-0,00952"
"10,30000";"30,29790";"0,02876"
"10,40000";"30,39789";"0,00598"
"10,50000";"30,49788";"0,00802"
"10,60000";"30,59811";"0,01142"
"10,70000";"30,69799";"0,01040"
"10,80000";"30,79786";"-0,00507"
"10,90000";"30,89785";"0,00957"
"11,00000";"30,99808";"0,00248"
"11,10000";"31,09808";"-0,01638"
"11,20000";"31,19795";"-0,01360"
"11,30000";"31,29806";"-0,00480"
"11,40000";"31,39829";"0,00769"
"11,50000";"31,49817";"-0,00209"
"11,60000";"31,59781";"0,00936"
"11,70000";"31,69792";"0,02025"
"11,80000";"31,79803";"0,01007"
"11,90000";"31,89767";"-0,00977"
"12,00000";"31,99813";"-0,00083"
"12,10000";"32,09800";"0,00442"
"12,20000";"32,19800";"-0,00848"
"12,30000";"32,29787";"-0,00302"
"12,40000";"32,39799";"0,00037"
"12,50000";"32,49798";"0,00913"
"12,60000";"32,59797";"0,01733"
"12,70000";"32,69785";"-0,00573"
"12,80000";"32,79820";"-0,00980"
"12,90000";"32,89795";"0,01559"
"13,00000";"32,99795";"0,00030"
"13,10000";"33,09794";"-0,00136"
"13,20000";"33,19793";"-0,00273"
"13,30000";"33,29828";"0,00069"
"13,40000";"33,39804";"-0,00187"
"13,50000";"33,49791";"0,00466"
"13,60000";"33,59802";"-0,00850"
"13,70000";"33,69814";"0,01887"
"13,80000";"33,79766";"-0,00577"
"13,90000";"33,89800";"-0,00638"
"14,00000";"33,99799";"0,01072"
"14,10000";"34,09810";"-0,02321"
"14,20000";"34,19810";"0,00789"
